"rep","config","strategy","int_strat","n_enc","elapsed","beta1_mean","beta1_sd","beta1_lo","beta1_hi","range_mean","range_lo","range_hi","sigma_mean","sigma_lo","sigma_hi"
21,"Full Laplace, eb (main)","laplace","eb",373,3.92000000000007,-2.0070647791763,0.306955862555846,-2.60868721462919,-1.40544234372342,5.41615503376263,2.3264295142185,9.37673685850999,1.01846331160108,0.479493351752489,1.49349513266524
21,"Full Laplace, grid","laplace","grid",373,4.80000000000018,-2.0090443128539,0.337804639278612,-2.71796502290322,-1.39000652055499,5.4161397965397,2.3264477514251,9.37666797611927,1.01846045931093,0.479496783512911,1.49348674940719
22,"Gaussian","gaussian","eb",289,4.09999999999945,-1.7376972408598,0.333732030681715,-2.39180000148338,-1.08359448023622,5.9246877415543,2.40652623318423,10.5671547512559,1.07452880356096,0.582295954262782,1.50165530485856
22,"Simplified Laplace","simplified.laplace","eb",289,4.10000000000036,-1.73769727608618,0.333732021482951,-2.39180001868051,-1.08359453349185,5.92468870417902,2.40652569548387,10.5671602648119,1.07452883715696,0.58229600958503,1.50165539552687
22,"Full Laplace, eb (main)","laplace","eb",289,3.65999999999985,-1.7376972408598,0.333732030681715,-2.39180000148338,-1.08359448023622,5.9246877415543,2.40652623318423,10.5671547512559,1.07452880356096,0.582295954262782,1.50165530485856
22,"Full Laplace, grid","laplace","grid",289,4.80000000000018,-1.71971095265884,0.342123145147799,-2.40574129879036,-1.05543065691852,5.92469032403277,2.40652212847143,10.5671645816557,1.0745291863439,0.582295494832136,1.5016562308543
23,"Gaussian","gaussian","eb",235,4.38000000000011,-1.71288038053517,0.241509183076396,-2.1862296813006,-1.23953107976975,3.84437667154284,1.57372262394132,6.77945492894174,0.635785308876872,0.344297808671854,0.882328857994239
23,"Simplified Laplace","simplified.laplace","eb",235,4.07999999999993,-1.71288038053517,0.241509183076396,-2.1862296813006,-1.23953107976975,3.84437667154284,1.57372262394132,6.77945492894174,0.635785308876872,0.344297808671854,0.882328857994239
23,"Full Laplace, eb (main)","laplace","eb",235,4.38000000000011,-1.71288032433913,0.241509148968099,-2.18622955825352,-1.23953109042474,3.84437679453602,1.5737227756149,6.77945456121949,0.635785269774071,0.344297784502762,0.882328872172949
23,"Full Laplace, grid","laplace","grid",235,4.80999999999949,-1.71170784779908,0.254676831921471,-2.23064531101005,-1.22365934658124,3.84437845474138,1.57372439436825,6.77946099273764,0.635785391049319,0.344297631116724,0.882329496638965
24,"Gaussian","gaussian","eb",376,4.23999999999978,-1.93813950330028,0.348528878449767,-2.62124355263396,-1.2550354539666,3.74891442589904,1.93639002545782,5.94964839747611,1.18367748687439,0.687447464055027,1.6235084886962
24,"Simplified Laplace","simplified.laplace","eb",376,4.55999999999949,-1.9381391395549,0.348528640519076,-2.621242722553,-1.2550355565568,3.74891531674696,1.93639007575794,5.94965353406568,1.18367754771679,0.687447686807453,1.62350896222292
24,"Full Laplace, eb (main)","laplace","eb",376,4.64000000000033,-1.93813927767315,0.34852872786128,-2.62124303185882,-1.25503552348748,3.74891464404141,1.93639051043742,5.94965020903128,1.18367746926539,0.687447755415558,1.62350855433036
24,"Full Laplace, grid","laplace","grid",376,5.25,-1.95379140606968,0.37508209754905,-2.73874324731947,-1.25435364617401,3.74891572726623,1.93638658205112,5.94965393099953,1.18367803738098,0.687446338980761,1.623509980521
25,"Gaussian","gaussian","eb",360,4.21000000000004,-1.55488621700797,0.16946834469384,-1.88703806912751,-1.22273436488842,2.42721096203997,1.00069934648689,4.25846623894464,0.4895217859689,0.253019959882764,0.686081089446557
25,"Simplified Laplace","simplified.laplace","eb",360,4.13000000000011,-1.55488626382254,0.169468320699618,-1.88703806891428,-1.22273445873081,2.42721132157873,1.00069892838423,4.25846912326899,0.489521764668111,0.253019994249314,0.686081014584734
25,"Full Laplace, eb (main)","laplace","eb",360,4.24000000000069,-1.55488625371098,0.169468304491431,-1.88703802703525,-1.2227344803867,2.42721197034565,1.0006982652691,4.25847207226961,0.489521783821498,0.253019937132165,0.686081139790246
25,"Full Laplace, grid","laplace","grid",360,4.75,-1.5415511696777,0.182266939143482,-1.89401150209619,-1.16962269562486,2.42721096203997,1.00069934648689,4.25846623894464,0.4895217859689,0.253019959882764,0.686081089446557
26,"Gaussian","gaussian","eb",270,4.11000000000058,-1.8671544030853,0.28979619614374,-2.43514451038374,-1.29916429578687,6.70223897063904,1.50200069102572,14.9287896056854,0.938315954514599,0.407768238641479,1.40224506272782
26,"Simplified Laplace","simplified.laplace","eb",270,3.80000000000018,-1.86715390919226,0.289796050664028,-2.4351437313557,-1.29916408702883,6.70221940289609,1.50200923299511,14.9287077918294,0.93831452937028,0.407769143897884,1.40224155246037
26,"Full Laplace, eb (main)","laplace","eb",270,3.94999999999982,-1.86715420472336,0.289796112801841,-2.43514414867467,-1.29916426077204,6.70224136055465,1.50200021027104,14.9287993169121,0.938315933605352,0.407768055402146,1.40224534357072
26,"Full Laplace, grid","laplace","grid",270,4.8100000000004,-1.90958345421888,0.342802446535997,-2.63923479058841,-1.29347792720423,6.70221940289609,1.50200923299511,14.9287077918294,0.93831452937028,0.407769143897884,1.40224155246037
27,"Gaussian","gaussian","eb",476,4.14999999999964,-1.89351820578924,0.223007377296844,-2.33060463357779,-1.4564317780007,3.47651439644974,1.59779832895172,5.81158067574866,0.659913415555199,0.357657975307826,0.920473601154302
27,"Simplified Laplace","simplified.laplace","eb",476,4.30000000000018,-1.89351821747305,0.223007433938687,-2.33060475627757,-1.45643167866853,3.47651425868911,1.59779801211717,5.8115791515481,0.659913434469617,0.357657856883424,0.920473620462215
27,"Full Laplace, eb (main)","laplace","eb",476,4.44000000000051,-1.89351818942536,0.22300738290751,-2.33060462821061,-1.4564317506401,3.4765146830752,1.59779805889061,5.81158134470317,0.659913457866567,0.357657854330298,0.920473774753532
27,"Full Laplace, grid","laplace","grid",476,4.85000000000036,-1.89232831143595,0.233924023877585,-2.36551324189421,-1.43914255989196,3.47651459326119,1.59779809407694,5.81158197194396,0.659913445240145,0.357657949990964,0.920473696715294
28,"Gaussian","gaussian","eb",231,4.40999999999985,-1.28267838809068,0.251482018876647,-1.77557408784833,-0.789782688333032,4.49388275515365,1.46542472224042,8.68369836631626,0.745178417933484,0.415197653166586,1.02055520190241
28,"Simplified Laplace","simplified.laplace","eb",231,4.6299999999992,-1.28267792741263,0.251481871982047,-1.77557333926215,-0.789782515563104,4.49389285171447,1.46541510823988,8.68374124835993,0.74517876509544,0.41519707119317,1.02055681116779
28,"Full Laplace, eb (main)","laplace","eb",231,4.36999999999989,-1.28267834856154,0.25148185472541,-1.77557372658868,-0.789782970534403,4.49387334344913,1.46543278863686,8.68365625655369,0.745177930328554,0.415197961340416,1.02055425113554
28,"Full Laplace, grid","laplace","grid",231,5.14999999999964,-1.25072429197278,0.272495819138706,-1.77667811748528,-0.697102780947939,4.49390060979203,1.46541508948808,8.6837838381645,0.745178251111792,0.415197687930537,1.02055568640166
29,"Gaussian","gaussian","eb",341,4.13999999999942,-1.62621609474386,0.283778709178555,-2.1824121443131,-1.07002004517463,3.68907623476465,1.82820931871467,5.96539061471355,0.966391458613832,0.566118650598195,1.3172763267341
29,"Simplified Laplace","simplified.laplace","eb",341,3.96999999999935,-1.62621595252086,0.283778670449715,-2.18241192618296,-1.07001997885875,3.68907936767256,1.82820528309478,5.96540390504111,0.966391749229467,0.566117764707136,1.31727772970923
29,"Full Laplace, eb (main)","laplace","eb",341,4.05000000000018,-1.62621609474386,0.283778709178555,-2.1824121443131,-1.07002004517463,3.68907623476465,1.82820931871467,5.96539061471355,0.966391458613832,0.566118650598195,1.3172763267341
29,"Full Laplace, grid","laplace","grid",341,4.96000000000004,-1.64277010560842,0.306037022707433,-2.28120534311852,-1.06821812406114,3.68907723967761,1.82820895678833,5.96539343419752,0.966391281804581,0.566118476341327,1.31727631139245
30,"Gaussian","gaussian","eb",345,4.88999999999942,-1.44060762110731,0.195742497842263,-1.82425586712206,-1.05695937509257,2.22867638963542,1.21828176945006,3.42772949076434,0.649245490900207,0.419041389415562,0.846065382291167
30,"Simplified Laplace","simplified.laplace","eb",345,4.56999999999971,-1.44060755723256,0.195742442783608,-1.82425569533432,-1.05695941913079,2.2286762510996,1.21828257344458,3.42772862362079,0.64924544653056,0.419041436821586,0.846065327416944
30,"Full Laplace, eb (main)","laplace","eb",345,4.80000000000018,-1.44060755723256,0.195742442783608,-1.82425569533432,-1.05695941913079,2.2286762510996,1.21828257344458,3.42772862362079,0.64924544653056,0.419041436821586,0.846065327416944
30,"Full Laplace, grid","laplace","grid",345,5.69999999999982,-1.43913233219193,0.210638680542788,-1.87109661212028,-1.03776207569031,2.22867614025689,1.21828197577784,3.42772861697486,0.649245204641164,0.419041728543102,0.846064597184111
31,"Gaussian","gaussian","eb",332,4.11000000000058,-1.59728809288332,0.280581798892284,-2.14721831342966,-1.04735787233699,3.33273836928381,1.71778938357516,5.30194810549807,0.943843962042072,0.565792061947395,1.27696471028178
31,"Simplified Laplace","simplified.laplace","eb",332,4.43000000000029,-1.59728803035637,0.28058173062733,-2.14721811710585,-1.04735794360688,3.33273941738568,1.7177876891118,5.30195482871203,0.943844160079219,0.565791979978162,1.2769652970379
31,"Full Laplace, eb (main)","laplace","eb",332,4.28999999999996,-1.59728779318813,0.280581488232186,-2.14721740485186,-1.0473581815244,3.33273694529981,1.71779331346718,5.30194310902297,0.9438434794966,0.565793124534378,1.2769634136775
31,"Full Laplace, grid","laplace","grid",332,5.02000000000044,-1.60460840186293,0.299261480665939,-2.22023437983887,-1.03506208198927,3.33273730858054,1.7177907122317,5.30194425689305,0.943843709059005,0.565792548175766,1.27696386844748
32,"Gaussian","gaussian","eb",287,4.35999999999967,-1.49573210674496,0.244254521173561,-1.97446217130621,-1.0170020421837,3.72634617677019,1.79658612631068,6.10964645670491,0.742481598138316,0.442872084594083,1.00092161472004
32,"Simplified Laplace","simplified.laplace","eb",287,3.92000000000007,-1.49573210674496,0.244254521173561,-1.97446217130621,-1.0170020421837,3.72634617677019,1.79658612631068,6.10964645670491,0.742481598138316,0.442872084594083,1.00092161472004
32,"Full Laplace, eb (main)","laplace","eb",287,4.17000000000007,-1.49573210674496,0.244254521173561,-1.97446217130621,-1.0170020421837,3.72634617677019,1.79658612631068,6.10964645670491,0.742481598138316,0.442872084594083,1.00092161472004
32,"Full Laplace, grid","laplace","grid",287,5.36000000000058,-1.50935125736694,0.257861954994319,-2.03683692166856,-1.01696360205946,3.72634494729036,1.79658791093889,6.10964162890485,0.742481395188265,0.442872413640906,1.00092098147179
33,"Gaussian","gaussian","eb",255,4.40999999999985,-1.30979892151344,0.181038508711888,-1.66462787840358,-0.9549699646233,2.43315867942034,1.13393899231973,4.01217909718439,0.557141452078822,0.291716089761619,0.774567146069377
